id, name
1, Abyssinian
2, American Bobtail
3, American Curl
4, American Shorthair
5, American Wirehair
6, Balinese
7, Bengal
8, Birman
9, Bombay
10, British Shorthair
11, Burmese
12, Burmilla
13, Chartreux
14, Colorpoint Shorthair
15, Cornish Rex
16, Devon Rex
17, Egyptian Mau
18, European Burmese
19, Exotic
20, Havana Brown
21, Japanese Bobtail
22, Korat
23, LaPerm
24, Maine Coon
25, Manx
26, Norwegian Forest Cat
27, Ocicat
28, Oriental
29, Persian
30, Ragamuffin
31, Ragdoll
32, Russian Blue
33, Scottish Fold
34, Selkirk Rex
35, Siamese
36, Siberian
37, Singapura
38, Somali
38, Sphynx
39, Tonkinese
40, Turkish Angora
41, Turkish Van
