id,name
1,English Pointer
2,English SETTER
3,KERRY BLUE TERRIER
4,CAIRN TERRIER
5,ENGLISH COCKER SPANIEL
6,Gordon SETTER
7,AIREDALE TERRIER
8,Australian TERRIER
9,BEDLINGTON TERRIER
10,Border TERRIER
11,BULL TERRIER
12,Fox TERRIER (SMOOTH)
13,English TOY TERRIER (BLACK &TAN)
14,SWEDISH VALLHUND
15,BELGIAN SHEPHERD DOG
16,OLD ENGLISH SHEEPDOG
17,GRIFFON NIVERNAIS
19,BRIQUET GRIFFON VENDEEN
20,ARIEGEOIS
21,GASCON SAINTONGEOIS
22,GREAT GASCONY BLUE
24,POITEVIN
25,BILLY
28,ARTOIS HOUND
30,PORCELAINE
31,SMALL BLUE GASCONY BLUE
32,BLUE GASCONY GRIFFON
33,GRAND BASSET GRIFFON VENDEEN
34,NORMAN ARTESIEN BASSET
35,BLUE GASCONY BASSET
36,BASSET FAUVE DE BRETAGNE
37,PORTUGUESE WATER DOG
38,WELSH CORGI CARDIGAN
39,WELSH CORGI PEMBROKE
40,IRISH SOFT COATED WHEATEN TERRIER
41,YUGOSLAVIAN SHEPHERD DOG - SHARPLANINA
42,Jämthund
43,BASENJI
44,BERGER DE BEAUCE
45,BERNESE MOUNTAIN DOG
46,APPENZELL CATTLE DOG
47,ENTLEBUCH CATTLE DOG
48,KARELIAN BEAR DOG
49,FINNISH SPITZ
50,NEWFOUNDLAND
51,FINNISH HOUND
52,POLISH HOUND
53,KOMONDOR
54,KUVASZ
55,PULI
56,PUMI
57,HUNGARIAN SHORT-HAIRED POINTER (VIZSLA)
58,GREAT SWISS MOUNTAIN DOG
59,SWISS HOUND
60,SMALL SWISS HOUND
61,ST. BERNARD
62,COARSE-HAIRED STYRIAN HOUND
63,AUSTRIAN BLACK AND TAN HOUND
64,AUSTRIAN  PINSCHER
65,MALTESE
66,FAWN BRITTANY GRIFFON
67,PETIT BASSET GRIFFON VENDEEN
68,TYROLEAN HOUND
70,LAKELAND TERRIER
71,MANCHESTER TERRIER
72,NORWICH TERRIER
73,SCOTTISH TERRIER
74,SEALYHAM TERRIER
75,SKYE TERRIER
76,STAFFORDSHIRE BULL TERRIER
77,CONTINENTAL TOY SPANIEL
78,WELSH TERRIER
80,GRIFFON BRUXELLOIS
81,GRIFFON BELGE
82,PETIT BRABANÇON
83,SCHIPPERKE
84,BLOODHOUND
85,WEST HIGHLAND WHITE TERRIER
86,YORKSHIRE TERRIER
87,CATALAN SHEEPDOG
88,SHETLAND SHEEPDOG
89,IBIZAN PODENCO
90,BURGOS POINTING DOG
91,SPANISH MASTIFF
92,PYRENEAN MASTIFF
93,PORTUGUESE SHEEPDOG
94,PORTUGUESE WARREN HOUND-PORTUGUESE PODENGO
95,BRITTANY SPANIEL
96,RAFEIRO OF ALENTEJO
97,German SPITZ
98,German WIRE- HAIRED POINTING DOG
99,WEIMARANER
100,WESTPHALIAN DACHSBRACKE
101,FRENCH BULLDOG
102,KLEINER MÜNSTERLÄNDER
103,GERMAN HUNTING TERRIER
104,GERMAN SPANIEL
105,FRENCH WATER DOG
106,BLUE PICARDY SPANIEL
107,WIRE-HAIRED POINTING GRIFFON KORTHALS
108,PICARDY SPANIEL
109,CLUMBER SPANIEL
110,CURLY COATED RETRIEVER
111,GOLDEN RETRIEVER
113,BRIARD
114,PONT-AUDEMER SPANIEL
115,SAINT GERMAIN POINTER
116,DOGUE DE BORDEAUX
117,DEUTSCH LANGHAAR
118,LARGE MUNSTERLANDER
119,GERMAN SHORT- HAIRED POINTING DOG
120,IRISH RED SETTER
121,FLAT COATED RETRIEVER
122,LABRADOR RETRIEVER
123,FIELD SPANIEL
124,IRISH WATER SPANIEL
125,ENGLISH SPRINGER SPANIEL
126,WELSH SPRINGER SPANIEL
127,SUSSEX SPANIEL
128,KING CHARLES SPANIEL
129,SMÅLANDSSTÖVARE
130,DREVER
131,SCHILLERSTÖVARE
132,HAMILTONSTÖVARE
133,FRENCH POINTING DOG - GASCOGNE TYPE
134,FRENCH POINTING DOG - PYRENEAN TYPE
135,SWEDISH LAPPHUND
136,CAVALIER KING CHARLES SPANIEL
137,PYRENEAN MOUNTAIN DOG
138,PYRENEAN SHEEPDOG - SMOOTH FACED
139,IRISH TERRIER
140,BOSTON TERRIER
141,LONG-HAIRED PYRENEAN SHEEPDOG
142,SLOVAKIAN CHUVACH
143,DOBERMANN
144,BOXER
145,LEONBERGER
146,RHODESIAN RIDGEBACK
147,ROTTWEILER
148,DACHSHUND
149,BULLDOG
150,SERBIAN HOUND
151,ISTRIAN SHORT-HAIRED HOUND
152,ISTRIAN WIRE-HAIRED HOUND
153,DALMATIAN
154,POSAVATZ HOUND
155,BOSNIAN BROKEN-HAIRED HOUND - CALLED BARAK
156,COLLIE ROUGH
157,BULLMASTIFF
158,GREYHOUND
159,ENGLISH FOXHOUND
160,IRISH WOLFHOUND
161,BEAGLE
162,WHIPPET
163,BASSET HOUND
164,DEERHOUND
165,ITALIAN SPINONE
166,GERMAN SHEPHERD DOG
167,AMERICAN COCKER SPANIEL
168,DANDIE DINMONT TERRIER
169,FOX TERRIER (WIRE)
170,CASTRO LABOREIRO DOG
171,BOUVIER DES ARDENNES
172,POODLE
173,ESTRELA MOUNTAIN DOG
175,FRENCH SPANIEL
176,PICARDY SHEEPDOG
177,ARIEGE POINTING DOG
179,BOURBONNAIS POINTING DOG
180,AUVERGNE POINTER
181,GIANT SCHNAUZER
182,SCHNAUZER
183,MINIATURE SCHNAUZER
184,GERMAN PINSCHER
185,MINIATURE PINSCHER
186,AFFENPINSCHER
187,PORTUGUESE POINTING DOG
188,SLOUGHI
189,FINNISH LAPPHUND
190,HOVAWART
191,BOUVIER DES FLANDRES
192,KROMFOHRLÄNDER
193,BORZOI - RUSSIAN HUNTING SIGHTHOUND
194,BERGAMASCO SHEPHERD DOG
195,ITALIAN VOLPINO
196,BOLOGNESE
197,NEAPOLITAN MASTIFF
198,ITALIAN ROUGH-HAIRED SEGUGIO
199,CIRNECO DELL'ETNA
200,ITALIAN GREYHOUND
201,MAREMMA AND THE ABRUZZES SHEEPDOG
202,ITALIAN POINTING DOG
203,NORWEGIAN HOUND
204,SPANISH HOUND
205,CHOW CHOW
206,JAPANESE CHIN
207,PEKINGESE
208,SHIH TZU
209,TIBETAN TERRIER
212,SAMOYED
213,HANOVERIAN SCENTHOUND
214,HELLENIC HOUND
215,BICHON FRISE
216,PUDELPOINTER
217,BAVARIAN MOUNTAIN SCENT HOUND
218,CHIHUAHUA
219,FRENCH TRICOLOUR HOUND
220,FRENCH WHITE & BLACK HOUND
221,FRISIAN WATER DOG
222,STABIJHOUN
223,DUTCH SHEPHERD DOG
224,DRENTSCHE PARTRIDGE DOG
225,FILA BRASILEIRO
226,LANDSEER (EUROPEAN CONTINENTAL TYPE)
227,LHASA APSO
228,AFGHAN HOUND
229,SERBIAN TRICOLOUR HOUND
230,TIBETAN MASTIFF
231,TIBETAN SPANIEL
232,DEUTSCH STICHELHAAR
233,LITTLE LION DOG
234,XOLOITZCUINTLE
235,GREAT DANE
236,AUSTRALIAN SILKY TERRIER
237,NORWEGIAN BUHUND
238,MUDI
239,HUNGARIAN WIRE-HAIRED POINTER
240,HUNGARIAN GREYHOUND
241,HUNGARIAN HOUND - TRANSYLVANIAN SCENT HOUND
242,NORWEGIAN ELKHOUND GREY
243,ALASKAN MALAMUTE
244,SLOVAKIAN HOUND
245,BOHEMIAN WIRE-HAIRED POINTING GRIFFON
246,CESKY TERRIER
247,ATLAS MOUNTAIN DOG (AIDI)
248,PHARAOH HOUND
249,MAJORCA MASTIFF
250,HAVANESE
251,POLISH LOWLAND SHEEPDOG
252,TATRA SHEPHERD DOG
253,PUG
254,ALPINE DACHSBRACKE
255,AKITA
257,SHIBA
259,JAPANESE TERRIER
260,TOSA
261,HOKKAIDO
262,JAPANESE SPITZ
263,CHESAPEAKE BAY RETRIEVER
264,MASTIFF
265,NORWEGIAN LUNDEHUND
266,HYGEN HOUND
267,HALDEN HOUND
268,NORWEGIAN ELKHOUND BLACK
269,SALUKI
270,SIBERIAN HUSKY
271,BEARDED COLLIE
272,NORFOLK TERRIER
273,CANAAN DOG
274,GREENLAND DOG
276,NORRBOTTENSPITZ
277,CROATIAN SHEPHERD DOG
278,KARST SHEPHERD DOG
279,MONTENEGRIN MOUNTAIN HOUND
281,OLD DANISH POINTING DOG
282,GRAND GRIFFON VENDEEN
283,COTON DE TULEAR
284,LAPPONIAN HERDER
285,SPANISH GREYHOUND
286,AMERICAN STAFFORDSHIRE TERRIER
287,AUSTRALIAN CATTLE DOG
288,CHINESE CRESTED DOG
289,ICELANDIC SHEEPDOG
290,BEAGLE HARRIER
291,Eurasian
292,Dogo ARGENTINO
293,AUSTRALIAN KELPIE
294,OTTERHOUND
295,Harrier
296,COLLIE SMOOTH
297,Border COLLIE
298,Romagna WATER DOG
299,German Hound
300,BLACK AND TAN COONHOUND
301,AMERICAN WATER SPANIEL
302,IRISH GLEN OF IMAAL TERRIER
303,AMERICAN FOXHOUND
304,RUSSIAN-EUROPEAN LAIKA
305,EAST SIBERIAN LAIKA
306,WEST SIBERIAN LAIKA
307,AZAWAKH
308,DUTCH SMOUSHOND
309,SHAR PEI
310,PERUVIAN HAIRLESS DOG
311,SAARLOOS WOLFHOND
312,NOVA SCOTIA DUCK TOLLING RETRIEVER
313,DUTCH SCHAPENDOES
314,NEDERLANDSE KOOIKERHONDJE
315,BROHOLMER
316,FRENCH WHITE AND ORANGE HOUND
317,KAI
318,KISHU
319,SHIKOKU
320,WIREHAIRED SLOVAKIAN POINTER
321,MAJORCA SHEPHERD DOG
322,GREAT ANGLO-FRENCH TRICOLOUR HOUND
323,GREAT ANGLO-FRENCH WHITE AND BLACK HOUND
324,GREAT ANGLO-FRENCH WHITE & ORANGE HOUND
325,MEDIUM-SIZED ANGLO-FRENCH HOUND
326,SOUTH RUSSIAN SHEPHERD DOG
327,RUSSIAN BLACK TERRIER
328,CAUCASIAN SHEPHERD DOG
329,CANARIAN WARREN HOUND
330,IRISH RED AND WHITE SETTER
331,ANATOLIAN SHEPHERD DOG
332,CZECHOSLOVAKIAN WOLFDOG
333,POLISH GREYHOUND
334,KOREA JINDO DOG
335,CENTRAL ASIA SHEPHERD DOG
336,SPANISH WATER DOG
337,ITALIAN SHORT-HAIRED SEGUGIO
338,THAI RIDGEBACK DOG
339,PARSON RUSSELL TERRIER
340,SAINT MIGUEL CATTLE DOG
341,BRAZILIAN TERRIER
342,AUSTRALIAN SHEPHERD
343,ITALIAN CORSO DOG
344,AMERICAN AKITA
345,JACK RUSSELL TERRIER
346,DOGO CANARIO
347,WHITE SWISS SHEPHERD DOG
348,TAIWAN DOG
349,ROMANIAN MIORITIC SHEPHERD DOG
350,ROMANIAN CARPATHIAN SHEPHERD DOG
351,AUSTRALIAN STUMPY TAIL CATTLE DOG
352,RUSSIAN TOY
353,CIMARRÓN URUGUAYO
354,POLISH HUNTING DOG
355,BOSNIAN AND HERZEGOVINIAN - CROATIAN SHEPHERD DOG
356,DANISH-SWEDISH FARMDOG
357,SOUTHEASTERN EUROPEAN SHEPHERD
358,THAI BANGKAEW DOG
359,MINIATURE BULL TERRIER
360,LANCASHIRE HEELER
